ID,日付,売上実績,取置計,顧客計,客数計
64,2008-08-05,178600,23000,4,5
64,2008-08-06,197500,131000,3,9
53,2008-08-01,345600,76000,2,12
53,2008-08-02,356700,24000,2,9
53,2008-08-03,969600,0,0,14
53,2008-08-04,370300,0,2,11
53,2008-08-05,138300,0,3,5
53,2008-08-06,196400,0,0,7
54,2008-08-01,257000,56400,0,6
54,2008-08-02,271100,82000,0,6
54,2008-08-03,535600,0,2,20
54,2008-08-04,323800,0,0,8
54,2008-08-05,62800,0,0,4
54,2008-08-06,116500,12000,1,4
55,2008-08-01,342100,75000,1,6
55,2008-08-02,413900,0,0,16
55,2008-08-03,406000,0,1,9
55,2008-08-04,386000,0,0,9
55,2008-08-05,167000,0,3,7
55,2008-08-06,184800,0,0,9
56,2008-08-01,90600,34000,1,5
56,2008-08-02,287000,0,0,7
56,2008-08-03,338405,0,1,12
56,2008-08-04,213800,0,1,12
56,2008-08-05,575500,0,0,11
56,2008-08-06,106500,0,1,5
67,2008-08-01,69000,0,0,1
67,2008-08-02,80100,0,1,2
67,2008-08-03,116200,0,2,4
67,2008-08-04,100850,0,1,3
67,2008-08-05,0,0,0,0
67,2008-08-06,70000,0,1,2
43,2008-08-01,362800,0,1,12
43,2008-08-02,421800,0,0,8
43,2008-08-03,210500,0,0,7
43,2008-08-04,228000,0,0,4
43,2008-08-05,1180200,0,0,14
43,2008-08-06,193200,0,0,4
45,2008-08-01,153400,0,0,6
45,2008-08-02,305100,0,0,4
45,2008-08-03,372700,0,0,10
45,2008-08-04,215700,0,1,7
45,2008-08-05,270100,0,1,5
45,2008-08-06,233600,0,1,7
52,2008-08-01,468100,0,2,8
52,2008-08-02,656000,0,7,20
52,2008-08-03,521400,0,3,13
52,2008-08-04,120000,0,1,8
52,2008-08-05,345100,0,4,11
52,2008-08-06,309200,382000,2,12
48,2008-08-01,259000,40000,0,11
48,2008-08-02,359900,9000,0,15
48,2008-08-03,305200,0,1,12
48,2008-08-04,177300,0,0,7
